Sample	Tissue
GTEX.1117F.0226.SM.5GZZ7	Adipose Tissue
GTEX.111CU.1826.SM.5GZYN	Adipose Tissue
GTEX.111FC.0226.SM.5N9B8	Adipose Tissue
GTEX.11O72.0226.SM.59869	Adipose Tissue
GTEX.11OF3.2426.SM.5Q5AS	Adipose Tissue
GTEX.11ONC.2526.SM.5986W	Adipose Tissue
GTEX.11P7K.2026.SM.5GU74	Adipose Tissue
GTEX.11P81.2426.SM.5GU65	Adipose Tissue
GTEX.11P82.1726.SM.5Q5AT	Adipose Tissue
GTEX.11PRG.0626.SM.5BC56	Adipose Tissue
GTEX.11TT1.2426.SM.5EQMK	Adipose Tissue
GTEX.11TTK.0226.SM.5N9EC	Adipose Tissue
GTEX.11TUW.2626.SM.5EQKZ	Adipose Tissue
GTEX.12C56.1626.SM.5FQUO	Adipose Tissue
GTEX.12KS4.0426.SM.5EQMC	Adipose Tissue
GTEX.12ZZX.0226.SM.5DUXU	Adipose Tissue
GTEX.12ZZY.0326.SM.5LZVQ	Adipose Tissue
GTEX.13113.1826.SM.5LZW4	Adipose Tissue
GTEX.1313W.0226.SM.5LZV7	Adipose Tissue
GTEX.1314G.1626.SM.5EQ67	Adipose Tissue
GTEX.131XE.2426.SM.5EQ5V	Adipose Tissue
GTEX.131XF.2226.SM.5EQKG	Adipose Tissue
GTEX.131XW.0526.SM.5PNXZ	Adipose Tissue
GTEX.131YS.0226.SM.5IJEH	Adipose Tissue
GTEX.139T6.2126.SM.5KM37	Adipose Tissue
GTEX.139T8.0226.SM.5L3EA	Adipose Tissue
GTEX.139TT.0226.SM.5K7YH	Adipose Tissue
GTEX.139TU.0226.SM.5J1NM	Adipose Tissue
GTEX.139YR.2426.SM.5J1OB	Adipose Tissue
GTEX.13CF2.2626.SM.5LZZA	Adipose Tissue
GTEX.13CF3.2326.SM.5IFGL	Adipose Tissue
GTEX.13D11.2326.SM.5IJCY	Adipose Tissue
GTEX.13FH7.2226.SM.5IJD4	Adipose Tissue
GTEX.13FHO.0326.SM.5IJBH	Adipose Tissue
GTEX.13FHP.0226.SM.5K7WD	Adipose Tissue
GTEX.13FTW.2526.SM.5IJC8	Adipose Tissue
GTEX.13FTY.0626.SM.5L3F8	Adipose Tissue
GTEX.13G51.2626.SM.5LZYW	Adipose Tissue
