Geneid sorted_2.bam sorted_3.bam ERR1755086-sort.bam ERR1755087-sort.bam ERR1755084_sorted.bam ERR1755085_sorted.bam
Xkr4 0 0 0 0 0 0
Rp1 0 1 0 0 0 0
Sox17 0 0 0 1 1 0
Mrpl15 740 628 632 690 667 767
Lypla1 2919 2461 2793 2567 2608 3231
Tcea1 1076 878 815 835 1060 994
Rgs20 1 2 3 1 0 0
Atp6v1h 1180 972 1103 1077 1069 1205
Oprk1 1 2 0 0 0 2
Npbwr1 1 0 0 0 0 0
Rb1cc1 3342 2635 2667 2651 3089 3213
Fam150a 0 0 0 0 0 0
St18 1 1 1 0 0 0
Pcmtd1 1908 1546 1080 1123 1860 1373
Sntg1 0 0 0 0 0 0
Rrs1 608 518 522 482 564 589
Adhfe1 3 5 3 2 4 4
2610203C22Rik 0 0 0 1 0 0
3110035E14Rik 0 1 0 0 0 0
Mybl1 112 80 138 141 93 187
Vcpip1 2599 2286 2293 2333 2774 2970
1700034P13Rik 1 3 0 3 0 4
Sgk3 150 164 215 213 171 257
Mcmdc2 1 2 1 5 0 0
Snhg6 325 264 214 184 309 253
Snord87 12 10 9 10 24 5
Ppp1r42 0 0 0 0 0 1
Cops5 1124 1010 1133 1157 1030 1303
Cspp1 1443 1146 1121 1263 1275 1347
Arfgef1 8119 6832 4630 4785 7456 5553
Cpa6 1 2 0 0 0 0
Mir467e 0 0 0 0 0 0
Prex2 0 0 0 0 1 0
A830018L16Rik 0 0 0 0 0 0
Gm17644 0 0 0 0 0 0
Sulf1 0 1 1 3 0 0
Slco5a1 11 7 28 40 12 29
Prdm14 0 1 0 1 0 0
Ncoa2 6872 6561 5347 5767 6820 6284
Tram1 5439 4824 5067 5093 5070 6056
Lactb2 544 443 575 542 523 639
Xkr9 0 0 0 0 0 1
Gm5523 21 28 16 10 8 24
Eya1 0 3 5 2 0 3
Msc 201 212 120 123 226 101
Trpa1 4 5 2 3 1 10
Kcnb2 0 0 0 0 0 0
Terf1 1339 1052 1013 994 1149 1120
Sbspon 19 28 10 37 0 0
4930444P10Rik 0 0 0 0 0 0
Rpl7 19666 18260 16211 16953 18397 18773
Rdh10 335 293 234 250 297 277
Stau2 26 20 5 7 18 11
Ube2w 634 534 426 436 633 541
Tceb1 1176 1173 1134 1119 1205 1441
D030040B21Rik 0 0 0 0 0 0
Tmem70 595 520 466 478 497 561
Ly96 68 58 54 45 77 45
Jph1 0 1 2 1 1 4
Gdap1 4 0 0 0 0 0
Pi15 6 2 1 2 2 4
Crispld1 0 0 0 0 0 2
Crisp4 0 0 0 0 0 0
Defb44-ps 0 0 0 0 0 0
Defb18 0 0 0 0 0 0
Defb41 0 0 0 0 0 0
Gm15386 0 0 0 0 0 0
Tfap2d 0 0 0 0 0 0
Tfap2b 0 0 0 0 0 1
Pkhd1 0 0 0 0 0 0
4930486I03Rik 0 0 0 0 0 0
Mir206 0 0 0 0 0 0
Mir133b 0 0 0 0 0 0
Il17a 6 9 7 3 9 6
Il17f 7 7 7 3 5 2
Mcm3 4378 4285 5213 5600 4392 5966
6720483E21Rik 0 0 0 0 1 0
Paqr8 123 131 46 56 137 56
Efhc1 10 5 0 4 12 6
Tram2 90 116 103 116 87 126
Tmem14a 42 20 25 17 30 30
Gsta3 2 2 1 0 3 0
Gm4956 2 0 1 3 0 4
Khdc1a 0 0 1 0 0 1
Khdc1c 0 0 0 0 0 0
Khdc1b 0 0 0 0 0 1
Kcnq5 187 192 49 44 181 56
Rims1 0 1 0 0 0 0
4933415F23Rik 0 0 0 0 0 0
Mir30a 0 0 0 0 0 0
Mir30c-2 0 0 0 0 0 0
Ogfrl1 74 81 286 276 62 374
