study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_name	nominal_length	library_layout	library_strategy	library_selection	read_count	base_count	experiment_title	study_alias	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy	sample_title
PRJEB18572	SAMEA25761418	ERS1472463	ERX1822231	ERR1755082	10090	Mus musculus	NextSeq 550	Egr2/3_DKO_CD4_1_p	150	PAIRED	RNA-Seq	PolyA	42437095	3608568846	NextSeq 550 paired end sequencing; RNAseq analysis of CD4 and CD8 T cells in response to vaccinia virus infection	E-MTAB-5338	ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/002/ERR1755082/ERR1755082_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/002/ERR1755082/ERR1755082_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/002/ERR1755082/ERR1755082_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/002/ERR1755082/ERR1755082_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR175/ERR1755082/UCLGNS1136-7_S7_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR175/ERR1755082/UCLGNS1136-7_S7_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR175/ERR1755082/UCLGNS1136-7_S7_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR175/ERR1755082/UCLGNS1136-7_S7_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR175/002/ERR1755082	ftp.sra.ebi.ac.uk/vol1/err/ERR175/002/ERR1755082			Egr2/3_DKO_CD4_1
PRJEB18572	SAMEA25762168	ERS1472464	ERX1822232	ERR1755083	10090	Mus musculus	NextSeq 550	Egr2/3_DKO_CD4_2_p	150	PAIRED	RNA-Seq	PolyA	38277843	3255077686	NextSeq 550 paired end sequencing; RNAseq analysis of CD4 and CD8 T cells in response to vaccinia virus infection	E-MTAB-5338	ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/003/ERR1755083/ERR1755083_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/003/ERR1755083/ERR1755083_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/003/ERR1755083/ERR1755083_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/003/ERR1755083/ERR1755083_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR175/ERR1755083/UCLGNS1136-8_S8_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR175/ERR1755083/UCLGNS1136-8_S8_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR175/ERR1755083/UCLGNS1136-8_S8_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR175/ERR1755083/UCLGNS1136-8_S8_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR175/003/ERR1755083	ftp.sra.ebi.ac.uk/vol1/err/ERR175/003/ERR1755083			Egr2/3_DKO_CD4_2
PRJEB18572	SAMEA25762918	ERS1472465	ERX1822233	ERR1755084	10090	Mus musculus	NextSeq 550	Egr2/3_DKO_CD4_3_p	150	PAIRED	RNA-Seq	PolyA	40559103	3448367771	NextSeq 550 paired end sequencing; RNAseq analysis of CD4 and CD8 T cells in response to vaccinia virus infection	E-MTAB-5338	ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/004/ERR1755084/ERR1755084_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/004/ERR1755084/ERR1755084_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/004/ERR1755084/ERR1755084_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/004/ERR1755084/ERR1755084_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR175/ERR1755084/UCLGNS1136-9_S9_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR175/ERR1755084/UCLGNS1136-9_S9_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR175/ERR1755084/UCLGNS1136-9_S9_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR175/ERR1755084/UCLGNS1136-9_S9_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR175/004/ERR1755084	ftp.sra.ebi.ac.uk/vol1/err/ERR175/004/ERR1755084			Egr2/3_DKO_CD4_3
PRJEB18572	SAMEA25763668	ERS1472466	ERX1822234	ERR1755085	10090	Mus musculus	NextSeq 550	Egr2/3_DKO_CD8_1_p	150	PAIRED	RNA-Seq	PolyA	39587946	3366132646	NextSeq 550 paired end sequencing; RNAseq analysis of CD4 and CD8 T cells in response to vaccinia virus infection	E-MTAB-5338	ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/005/ERR1755085/ERR1755085_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/005/ERR1755085/ERR1755085_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/005/ERR1755085/ERR1755085_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/005/ERR1755085/ERR1755085_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR175/ERR1755085/UCLGNS1136-10_S10_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR175/ERR1755085/UCLGNS1136-10_S10_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR175/ERR1755085/UCLGNS1136-10_S10_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR175/ERR1755085/UCLGNS1136-10_S10_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR175/005/ERR1755085	ftp.sra.ebi.ac.uk/vol1/err/ERR175/005/ERR1755085			Egr2/3_DKO_CD8_1
PRJEB18572	SAMEA25764418	ERS1472467	ERX1822235	ERR1755086	10090	Mus musculus	NextSeq 550	Egr2/3_DKO_CD8_2_p	150	PAIRED	RNA-Seq	PolyA	33864837	2879497246	NextSeq 550 paired end sequencing; RNAseq analysis of CD4 and CD8 T cells in response to vaccinia virus infection	E-MTAB-5338	ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/006/ERR1755086/ERR1755086_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/006/ERR1755086/ERR1755086_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/006/ERR1755086/ERR1755086_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/006/ERR1755086/ERR1755086_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR175/ERR1755086/UCLGNS1136-11_S11_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR175/ERR1755086/UCLGNS1136-11_S11_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR175/ERR1755086/UCLGNS1136-11_S11_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR175/ERR1755086/UCLGNS1136-11_S11_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR175/006/ERR1755086	ftp.sra.ebi.ac.uk/vol1/err/ERR175/006/ERR1755086			Egr2/3_DKO_CD8_2
PRJEB18572	SAMEA25765168	ERS1472468	ERX1822236	ERR1755087	10090	Mus musculus	NextSeq 550	Egr2/3_DKO_CD8_3_p	150	PAIRED	RNA-Seq	PolyA	35461148	3015383652	NextSeq 550 paired end sequencing; RNAseq analysis of CD4 and CD8 T cells in response to vaccinia virus infection	E-MTAB-5338	ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/007/ERR1755087/ERR1755087_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/007/ERR1755087/ERR1755087_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/007/ERR1755087/ERR1755087_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/007/ERR1755087/ERR1755087_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR175/ERR1755087/UCLGNS1136-12_S12_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR175/ERR1755087/UCLGNS1136-12_S12_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR175/ERR1755087/UCLGNS1136-12_S12_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR175/ERR1755087/UCLGNS1136-12_S12_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR175/007/ERR1755087	ftp.sra.ebi.ac.uk/vol1/err/ERR175/007/ERR1755087			Egr2/3_DKO_CD8_3
PRJEB18572	SAMEA25765918	ERS1472469	ERX1822237	ERR1755088	10090	Mus musculus	NextSeq 550	Egr2_Kin_CD4_1_p	150	PAIRED	RNA-Seq	PolyA	41089712	3493389574	NextSeq 550 paired end sequencing; RNAseq analysis of CD4 and CD8 T cells in response to vaccinia virus infection	E-MTAB-5338	ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/008/ERR1755088/ERR1755088_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/008/ERR1755088/ERR1755088_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/008/ERR1755088/ERR1755088_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/008/ERR1755088/ERR1755088_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR175/ERR1755088/UCLGNS1136-1_S1_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR175/ERR1755088/UCLGNS1136-1_S1_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR175/ERR1755088/UCLGNS1136-1_S1_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR175/ERR1755088/UCLGNS1136-1_S1_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR175/008/ERR1755088	ftp.sra.ebi.ac.uk/vol1/err/ERR175/008/ERR1755088			Egr2_Kin_CD4_1
PRJEB18572	SAMEA25766668	ERS1472470	ERX1822238	ERR1755089	10090	Mus musculus	NextSeq 550	Egr2_Kin_CD4_2_p	150	PAIRED	RNA-Seq	PolyA	39185204	3331918583	NextSeq 550 paired end sequencing; RNAseq analysis of CD4 and CD8 T cells in response to vaccinia virus infection	E-MTAB-5338	ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/009/ERR1755089/ERR1755089_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/009/ERR1755089/ERR1755089_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/009/ERR1755089/ERR1755089_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/009/ERR1755089/ERR1755089_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR175/ERR1755089/UCLGNS1136-2_S2_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR175/ERR1755089/UCLGNS1136-2_S2_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR175/ERR1755089/UCLGNS1136-2_S2_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR175/ERR1755089/UCLGNS1136-2_S2_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR175/009/ERR1755089	ftp.sra.ebi.ac.uk/vol1/err/ERR175/009/ERR1755089			Egr2_Kin_CD4_2
PRJEB18572	SAMEA25767418	ERS1472471	ERX1822239	ERR1755090	10090	Mus musculus	NextSeq 550	Egr2_Kin_CD4_3_p	150	PAIRED	RNA-Seq	PolyA	33437080	2843101114	NextSeq 550 paired end sequencing; RNAseq analysis of CD4 and CD8 T cells in response to vaccinia virus infection	E-MTAB-5338	ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/000/ERR1755090/ERR1755090_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/000/ERR1755090/ERR1755090_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/000/ERR1755090/ERR1755090_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/000/ERR1755090/ERR1755090_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR175/ERR1755090/UCLGNS1136-3_S3_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR175/ERR1755090/UCLGNS1136-3_S3_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR175/ERR1755090/UCLGNS1136-3_S3_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR175/ERR1755090/UCLGNS1136-3_S3_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR175/000/ERR1755090	ftp.sra.ebi.ac.uk/vol1/err/ERR175/000/ERR1755090			Egr2_Kin_CD4_3
PRJEB18572	SAMEA25768168	ERS1472472	ERX1822240	ERR1755091	10090	Mus musculus	NextSeq 550	Egr2_Kin_CD8_1_p	150	PAIRED	RNA-Seq	PolyA	37333981	3174937693	NextSeq 550 paired end sequencing; RNAseq analysis of CD4 and CD8 T cells in response to vaccinia virus infection	E-MTAB-5338	ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/001/ERR1755091/ERR1755091_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/001/ERR1755091/ERR1755091_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/001/ERR1755091/ERR1755091_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/001/ERR1755091/ERR1755091_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR175/ERR1755091/UCLGNS1136-4_S4_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR175/ERR1755091/UCLGNS1136-4_S4_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR175/ERR1755091/UCLGNS1136-4_S4_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR175/ERR1755091/UCLGNS1136-4_S4_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR175/001/ERR1755091	ftp.sra.ebi.ac.uk/vol1/err/ERR175/001/ERR1755091			Egr2_Kin_CD8_1
